№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
6417,Автобус,Остановка,ПЕР. ТАЛАЛИХИНА,ПЕР. ТАЛАЛИХИНА [],"Проспект Добролюбова, переулок Талалихина","10, 191","59.950493259146292,30.2962952"
6418,Автобус,Остановка,МЫТНИНСКАЯ НАБ.,МЫТНИНСКАЯ НАБ. [],"Мытнинская набережная, проспект Добролюбова","10, 191","59.948772851550565,30.30196"
6419,Автобус,Остановка,ДАЛЬНЕВОСТОЧНЫЙ ПР.,ДАЛЬНЕВОСТОЧНЫЙ ПР. [],"Улица Коллонтай, Дальневосточный проспект",191,"59.912462726525796,30.4403267"
6420,Автобус,ДС,"Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ., ПОСАДКИ И ВЫСАДКИ НЕТ","Г. КОЛПИНО, ЛЕНИНГРАДСКАЯ УЛ., ПОСАДКИ И ВЫСАДКИ НЕТ","Водопадная ул., Ленинградская ул.","331, 335, 389, 438, 438З","59.752345870623195,30.6115589"
6421,Автобус,Остановка,МЕЖЕВАЯ УЛ.,МЕЖЕВАЯ УЛ.,"Лагерное шоссе, улица Индустриализации","331, 335, 335А, 389, 438, 438З","59.757014479802443,30.6180382"
6422,Автобус,Остановка,МЕЖЕВАЯ УЛ.,МЕЖЕВАЯ УЛ.,"Лагерное шоссе, улица Индустриализации","331, 335, 335А, 389, 438, 438З","59.757165846040799,30.6176319"
6423,Автобус,Остановка,ПОНТОННАЯ УЛ.,ПОНТОННАЯ УЛ.,"Вознесенское шоссе, Понтонная улица","335, 438, 438З","59.759983196958729,30.624588"
6424,Автобус,Остановка,ПОНТОННАЯ УЛ.,ПОНТОННАЯ УЛ.,"Лагерное шоссе, Первомайская улица","328, 331, 335А","59.760162068359342,30.6254997"
6425,Автобус,Остановка,ПОНТОННАЯ УЛ.,ПОНТОННАЯ УЛ.,"Вознесенское шоссе, Понтонная улица","328, 331, 335, 335А, 389, 438, 438З","59.759983196958729,30.624588"
6426,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761864738539657,30.6281605"
6427,Автобус,Остановка,"ВОЗНЕСЕНСКОЕ ШОССЕ, 53","ВОЗНЕСЕНСКОЕ ШОССЕ, 53","Лагерное шоссе, Первомайская улица","328, 335, 335А, 438, 438З","59.761930091826862,30.6301212"
6428,Автобус,Остановка,"ВОЗНЕСЕНСКОЕ ШОССЕ, 53","ВОЗНЕСЕНСКОЕ ШОССЕ, 53","Лагерное шоссе, Первомайская улица","328, 335, 335А, 438, 438З","59.762490748983645,30.63027"
6429,Автобус,Остановка,15 КМ,15 КМ,Лагерное шоссе,"328, 335, 335А, 438, 438З","59.766243126040173,30.6409111"
6430,Автобус,Остановка,15 КМ,15 КМ,Лагерное шоссе,"328, 335, 335А, 438, 438З","59.766394450458655,30.6400547"
6431,Автобус,Остановка,"КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ""","КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ"" []",Лагерное шоссе,"328, 335, 335А, 438, 438З","59.769190389612788,30.6481647"
6432,Автобус,Остановка,"КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ""","КОЛЛЕКТИВНЫЙ ГАРАЖ ""ЗЕНИТ"" []",Лагерное шоссе,"328, 335, 335А, 438, 438З","59.769376089456941,30.6476097"
6433,Автобус,Остановка,"ПОС. ПОНТОННЫЙ, БАЛКАНСКАЯ ДОРОГА","ПОС. ПОНТОННЫЙ, БАЛКАНСКАЯ ДОРОГА","Первомайская улица, Балканская дорога",331,"59.769554910552934,30.6225243"
6434,Автобус,Остановка,КИРПИЧНЫЙ ЗАВОД,КИРПИЧНЫЙ ЗАВОД,Первомайская улица,331,"59.772622231001051,30.6227303"
6435,Автобус,Остановка,КИРПИЧНЫЙ ЗАВОД,КИРПИЧНЫЙ ЗАВОД,Первомайская улица,331,"59.772993591481189,30.6220303"
6436,Автобус,Остановка,"ПОС. ПОНТОННЫЙ, БАЛКАНСКАЯ ДОРОГА","ПОС. ПОНТОННЫЙ, БАЛКАНСКАЯ ДОРОГА","Первомайская улица, Балканская дорога",331,"59.768629844930139,30.6232624"
6437,Автобус,Остановка,"ПЕРВОМАЙСКАЯ УЛ.,29","ПЕРВОМАЙСКАЯ УЛ.,29",Первомайская улица,331,"59.777054217530207,30.6241856"
6438,Автобус,Остановка,"ПЕРВОМАЙСКАЯ УЛ.,29","ПЕРВОМАЙСКАЯ УЛ.,29",Первомайская улица,331,"59.77718142645427,30.623909"
6439,Автобус,Остановка,"ПОС. ПОНТОННЫЙ, ПЕРВОМАЙСКАЯ УЛ.","ПОС. ПОНТОННЫЙ, ПЕРВОМАЙСКАЯ УЛ.","Первомайская улица, Волховстроевская улица",331,"59.781121224969844,30.6312542"
6440,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761771867858897,30.6278114"
6441,Автобус,Остановка,УЛ. В. СЛУЦКОЙ УГ. БУЛЬВ. ТРУДЯЩИХСЯ,УЛ. В. СЛУЦКОЙ УГ. БУЛЬВ. ТРУДЯЩИХСЯ,"Бульвар Трудящихся, улица Веры Слуцкой","326, 332, 335А, 336, 364, 366, 386, 392","59.735582356333651,30.5781803"
6442,Автобус,Остановка,"БУЛЬВАР ТРУДЯЩИХСЯ,15","БУЛЬВАР ТРУДЯЩИХСЯ,15","Бульвар Трудящихся, улица Металлургов","326, 332, 335А, 336, 364, 366, 386","59.737348238586989,30.5697479"
6443,Автобус,Остановка,"БУЛЬВАР ТРУДЯЩИХСЯ,15","БУЛЬВАР ТРУДЯЩИХСЯ,15","Бульвар Трудящихся, улица Металлургов","325, 326, 332, 335А, 336, 364, 369, 386","59.73695927058408,30.5696735"
6444,Автобус,Остановка,"ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ","ПРОЛЕТАРСКАЯ УЛИЦА, УГОЛ БУЛЬВАРА ТРУДЯЩИХСЯ","Бульвар Трудящихся, Пролетарская улица","325, 326, 332, 335А, 336, 364, 369, 386","59.741468267791319,30.5689564"
6445,Автобус,Остановка,"ЛАГЕРНОЕ ШОССЕ, 1","ЛАГЕРНОЕ ШОССЕ, 1","Лагерное шоссе, Центральная улица",336,"59.779385158158426,30.6559753"
6446,Автобус,Остановка,"ШЛИССЕЛЬБУРГСКОЕ ШОССЕ, 54","ШЛИССЕЛЬБУРГСКОЕ ШОССЕ, 54","Шлиссельбургское шоссе, Садовая улица",336,"59.78543178052935,30.6580448"
6447,Автобус,Остановка,УЛ. СУДОСТРОИТЕЛЕЙ,УЛ. СУДОСТРОИТЕЛЕЙ,"Улица Судостроителей, Шлиссельбургское шоссе",336,"59.788497642233182,30.6490974"
6448,Автобус,Остановка,"УЛ. СУДОСТРОИТЕЛЕЙ, 12","УЛ. СУДОСТРОИТЕЛЕЙ, 12","Улица Судостроителей, Новый переулок",336,"59.786084846433752,30.6438084"
6449,Автобус,Остановка,"УЛ. СУДОСТРОИТЕЛЕЙ, 3","УЛ. СУДОСТРОИТЕЛЕЙ, 3","Улица Судостроителей, Заводская улица",336,"59.782840014029979,30.6363316"
6450,Автобус,Остановка,"ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ","ПР. ЛЕНИНА, УГ. УЛ. ТАНКИСТОВ []","Проспект Ленина, Танкистов ул.","335А, 386","59.749820352494211,30.5635948"
6451,Автобус,Остановка,"УЛ. В.СЛУЦКОЙ, УГ. БУЛЬВ. ТРУДЯЩИХСЯ","УЛ. В.СЛУЦКОЙ, УГ. БУЛЬВ. ТРУДЯЩИХСЯ","Улица Веры Слуцкой, бульвар Трудящихся","196, 325, 327, 332, 335А, 336, 337, 337А, 364, 374, 390, 392, 396А","59.73509353813558,30.5787811"
6452,Автобус,Остановка,"УЛ. В. СЛУЦКОЙ, УГ. БУЛЬВ. ТРУДЯЩИХСЯ","УЛ. В. СЛУЦКОЙ, УГ. БУЛЬВ. ТРУДЯЩИХСЯ","Улица Веры Слуцкой, бульвар Трудящихся","326, 386","59.735695953905569,30.5796928"
6453,Автобус,Остановка,"УЛ. МАШИНОСТРОИТЕЛЕЙ,6","УЛ. МАШИНОСТРОИТЕЛЕЙ, 6","Улица Машиностроителей, бульвар Трудящихся",392,"59.733823265880716,30.5716057"
6454,Автобус,Остановка,"ЗАВОДСКОЙ ПР.,22","ЗАВОДСКОЙ ПР.,22","Заводской проспект, улица Машиностроителей","325, 392","59.732222447562535,30.5671291"
6455,Автобус,Остановка,"ЗАВОДСКОЙ ПР., 22","ЗАВОДСКОЙ ПР., 22","Заводской проспект, улица Машиностроителей",392,"59.732070968311646,30.5667324"
6456,Автобус,Остановка,"ЗАВОДСКОЙ ПР.,16","ЗАВОДСКОЙ ПР.,16",Заводской проспект,"325, 392","59.73473896835079,30.5620975"
6457,Автобус,Остановка,"ЗАВОДСКОЙ ПР., 16","ЗАВОДСКОЙ ПР., 16",Заводской проспект,392,"59.73428800523088,30.5623341"
6458,Автобус,Остановка,ДЕТСКАЯ БОЛЬНИЦА № 22,ДЕТСКАЯ БОЛЬНИЦА № 22,"Заводской проспект, улица Металлургов","325, 392","59.738494463108701,30.5597992"
6459,Автобус,Остановка,ДЕТСКАЯ БОЛЬНИЦА № 22,ДЕТСКАЯ БОЛЬНИЦА № 22,"Заводской проспект, улица Металлургов",392,"59.738105508442153,30.5593872"
6460,Автобус,Остановка,"САПЕРНАЯ УЛ., УГ. КАДЕТСКОГО БУЛЬВАРА","САПЕРНАЯ УЛ., УГ. КАДЕТСКОГО БУЛЬВАРА","Кадетский бул., ул. Саперная","186, 273, 299, 342, 373, 376, 382","59.70357378404136,30.4070187"
6461,Автобус,Остановка,УЛ. МАШИНОСТРОИТЕЛЕЙ,УЛ. МАШИНОСТРОИТЕЛЕЙ,"Улица Машиностроителей, Заводской проспект",392,"59.731561442158927,30.5713329"
6462,Автобус,Остановка,ГУММОЛОСАРОВСКАЯ УЛ.,ГУММОЛОСАРОВСКАЯ УЛ.,"Мичурина ул., Гуммулосаровская ул.","339, 545","59.683124489969998,30.4333801"
6463,Автобус,Остановка,МАЛОЕ КАРЛИНО,МАЛОЕ КАРЛИНО,Красносельское шоссе,"273, 301","59.722171688932711,30.2655621"
6464,Автобус,Остановка,"СНТ ""НАГОРНЫЙ""","СНТ ""НАГОРНЫЙ""",Красносельское шоссе,"273, 301","59.724441034771992,30.2550602"
6465,Автобус,Остановка,8 КМ,8 КМ,Красносельское шоссе,"273, 301","59.727684657858518,30.2291584"
6466,Автобус,Остановка,7 КМ,7 КМ,Красносельское шоссе,"273, 301","59.72619373217163,30.1976948"
6467,Автобус,Остановка,"САДОВОДСТВО ""ЗДОРОВЬЕ""","САДОВОДСТВО ""ЗДОРОВЬЕ""",Красносельское шоссе,"273, 301","59.726851400424813,30.1789627"
6468,Автобус,Остановка,5 КМ,5 КМ,Красносельское шоссе,"273, 301","59.727188837754625,30.168539"
6469,Автобус,Остановка,4 КМ,4 КМ,Красносельское шоссе,"273, 301","59.729471615161124,30.1516209"
6470,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273, 301","59.73195047296295,30.1325378"
6471,Автобус,ДС,"А.С""КРАСНОЕ СЕЛО"" - ПОСАДКИ/ВЫСАДКИ НЕТ","А.С""КРАСНОЕ СЕЛО"" - ПОСАДКИ/ВЫСАДКИ НЕТ","1-го Мая ул., Красносельское шоссе","144, 146, 149, 149А, 273, 442, 443, 446, 454, 458, 458Б, 477, 547","59.731086336454034,30.1029358"
6472,Автобус,Остановка,ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №5,ДОМОСТРОИТЕЛЬНЫЙ КОМБИНАТ №5,Финляндская улица,368,"59.753512223955575,30.5528088"
6473,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273, 301","59.73163374026138,30.1358166"
6474,Автобус,ДС,"Г. КОЛПИНО, КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ","Г. КОЛПИНО, КОМБИНАТ СТРОИТЕЛЬНЫХ МАТЕРИАЛОВ []",,"328, 364, 367, 368","59.758376751255703,30.549654"
6475,Автобус,Остановка,4 КМ,4 КМ,"Красносельское шоссе, 11-я линия","273, 301","59.727736305363287,30.1581097"
6476,Автобус,Остановка,5 КМ,5 КМ,Красносельское шоссе,"273, 301","59.726916822214001,30.1707363"
6477,Автобус,Остановка,"САДОВОДСТВО ""ЗДОРОВЬЕ""","САДОВОДСТВО ""ЗДОРОВЬЕ""",Красносельское шоссе,"273, 301","59.726668907389168,30.1795597"
6478,Автобус,Остановка,7 КМ,7 КМ,Красносельское шоссе,"273, 301","59.726210948782885,30.2032948"
6479,Автобус,Остановка,8 КМ,8 КМ,Красносельское шоссе,"273, 301","59.727450521503236,30.2400208"
6480,Автобус,Остановка,"СНТ ""НАГОРНЫЙ""","СНТ ""НАГОРНЫЙ""",Красносельское шоссе,"273, 301","59.723745439815957,30.2565403"
6481,Автобус,Остановка,МАЛОЕ КАРЛИНО,МАЛОЕ КАРЛИНО,Красносельское шоссе,"273, 301","59.721252198461201,30.2680511"
6482,Автобус,Остановка,"ПАВЛОВСКАЯ УЛ., 82","ПАВЛОВСКАЯ УЛ., 82","Павловская улица, проспект Ленина","366, 368, 392","59.748474937249838,30.5675144"
6483,Автобус,Остановка,"ПАВЛОВСКАЯ УЛ., 82","ПАВЛОВСКАЯ УЛ., 82","Павловская улица, проспект Ленина","368, 369, 392","59.748602255079469,30.567194"
6484,Автобус,Остановка,УЛ. БРАТЬЕВ РАДЧЕНКО,УЛ. БРАТЬЕВ РАДЧЕНКО,"Павловская улица, улица Братьев Радченко","366, 368, 392","59.748075775504418,30.580267"
6485,Автобус,Остановка,УЛ. БРАТЬЕВ РАДЧЕНКО,УЛ. БРАТЬЕВ РАДЧЕНКО,"Павловская улица, улица Братьев Радченко","368, 369, 392","59.748234064353269,30.5792294"
6486,Автобус,Остановка,МОСКОВСКАЯ УЛ.,МОСКОВСКАЯ УЛ.,"Конюшенная улица, Малая улица","273, 373, 380, 381","59.717102123659139,30.4101429"
6487,Автобус,Остановка,ПЛ. КОММУНЫ,ПЛ. КОММУНЫ,"Площадь Коммуны, улица Володарского","366, 368, 392","59.745453577226534,30.5944538"
6488,Автобус,Остановка,ПЛ. КОММУНЫ,ПЛ. КОММУНЫ,"Площадь Коммуны, улица Коммуны","368, 369, 392","59.746107425449139,30.5931416"
6489,Автобус,Остановка,"АХМАТОВСКАЯ УЛ., 15","АХМАТОВСКАЯ УЛ., 15","Ахматовская ул., Железнодорожная ул.","187, 273, 370, 371, 373, 377, 378, 380, 382, 383, 384, 545","59.727254258883733,30.4234123"
6490,Автобус,Остановка,"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","Тверская улица, улица Ижорского батальона","324, 325, 328, 330, 364, 367, 368, 386, 392, 540, 544","59.735131404589389,30.6110649"
6491,Автобус,Остановка,"ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","ТВЕРСКАЯ УЛ.,УГ.УЛ.ИЖОРСКОГО БАТАЛЬОНА","Тверская улица, улица Ижорского батальона","192, 324, 326, 328, 330, 367, 392, 540, 544","59.73577168540573,30.6115799"
6492,Автобус,Остановка,ОБОРОННАЯ УЛ.,ОБОРОННАЯ УЛ.,"Тверская улица, Оборонная улица","324, 328, 367, 368, 386, 392, 540, 544","59.731179292449191,30.611805"
6493,Автобус,Остановка,ОБОРОННАЯ УЛ.,ОБОРОННАЯ УЛ. [],"Тверская улица, Оборонная улица","324, 325, 330, 364, 367, 392, 540, 544","59.731141421519389,30.6122227"
6494,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА","ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА",,"324, 367, 392, 544","59.727994541690705,30.6118355"
6495,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА","ПОСЁЛОК ТЕЛЬМАНА, ШКОЛА",,"324, 367, 392, 544","59.727994541690705,30.6123314"
6496,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, 7","ПОСЁЛОК ТЕЛЬМАНА, 7",,"324, 367, 392, 540, 544","59.724027811789838,30.6100121"
6497,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, 7","ПОСЁЛОК ТЕЛЬМАНА, 7",,"324, 367, 392, 540, 544","59.72390384389972,30.6103783"
6498,Автобус,Остановка,"ПОСЁЛОК ТЕЛЬМАНА, АДМИНИСТРАЦИЯ","ПОСЁЛОК ТЕЛЬМАНА, АДМИНИСТРАЦИЯ",,"324, 367, 392","59.721004241647812,30.6065903"
6499,Автобус,Остановка,"БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ.","БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ.","Берёзовая ул., Толмачева ул.","252, 299, 339, 370, 375А, 379, 383, 493, 545","59.685958425735961,30.4318981"
6500,Автобус,Остановка,"АНИСИМОВА, 4","АНИСИМОВА, 4","Улица Анисимова, Оборонная улица","328, 368, 386","59.732704422431759,30.6066456"
6501,Автобус,Остановка,ШКОЛА № 464,ШКОЛА № 464,"Мичурина ул., Мичурина пер.","339, 545","59.680952333127848,30.4297867"
6502,Автобус,Остановка,ВОКЗАЛ,ВОКЗАЛ,"Ленинградская ул., Железнодорожная ул.","236, 370, 371, 376, 377, 378, 381","59.723359757170904,30.4281139"
6503,Автобус,Остановка,ОКТЯБРЬСКИЙ Б-Р,ОКТЯБРЬСКИЙ Б-Р,"Октябрьский бульвар, Оранжерейная ул.",383,"59.722956851801349,30.4124584"
6504,Автобус,Остановка,ОБЪЕДИНЕННАЯ БОЛЬНИЦА,ОБЪЕДИНЕННАЯ БОЛЬНИЦА,Мичурина ул.,"339, 545","59.677376587326137,30.4255428"
6505,Автобус,Остановка,"ПАВЛОВСК, ГАЛАНТЕРЕЙНАЯ ФАБРИКА","ПАВЛОВСК, ГАЛАНТЕРЕЙНАЯ ФАБРИКА",Мичурина ул.,339,"59.675121292029338,30.4236126"
6506,Автобус,Остановка,САПЕРНАЯ УЛ.,САПЕРНАЯ УЛ.,"Павловское ш., Саперная ул.","370, 545","59.704128529359579,30.4187298"
6507,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ МОСТ,ЖЕЛЕЗНОДОРОЖНЫЙ МОСТ,,"339, 545","59.672538206226562,30.4209175"
6508,Автобус,Остановка,"ПЯЗЕЛЕВО, ГОРНАЯ УЛ.","ПЯЗЕЛЕВО, ГОРНАЯ УЛ.",,"339, 545","59.667692227905754,30.4194431"
6509,Автобус,Остановка,"ПАВЛОВСКОЕ ШОССЕ, 67","ПАВЛОВСКОЕ ШОССЕ, 67","Павловское ш., Кедринская ул.","370, 545","59.699025214885538,30.4240532"
6510,Автобус,Остановка,"ПАВЛОВСКОЕ ШОССЕ,93","ПАВЛОВСКОЕ ШОССЕ,93","Павловское ш., Парковая ул.","252, 299, 370, 545","59.696133795525824,30.4271679"
6511,Автобус,Остановка,"Г.ПУШКИН, ГЛАВНАЯ УЛ.","Г.ПУШКИН, ГЛАВНАЯ УЛ.","Главная ул., Павловская ул.","252, 299, 370, 545","59.694420882268417,30.4306679"
6512,Автобус,Остановка,ДОРОГА В АНТРОПШИНО,ДОРОГА В АНТРОПШИНО,,"339, 545","59.661845079634098,30.4212055"
6513,Автобус,Остановка,ПОС. ДИНАМО,ПОС. ДИНАМО,,"339, 545","59.65282570855716,30.406599"
6514,Автобус,Остановка,ПЕСЧАНЫЙ ПЕР.,ПЕСЧАНЫЙ ПЕР.,"Госпитальная ул., Песчаный пер.","252, 299, 339, 370, 375А, 383, 493","59.684251887291587,30.4431133"
6515,Автобус,Остановка,"САДОВАЯ УЛ., УГ. ГОСПИТАЛЬНОЙ УЛ.","САДОВАЯ УЛ., УГ. ГОСПИТАЛЬНОЙ УЛ.","Революции ул., Госпитальная ул.",252,"59.685720549833718,30.4460735"
6516,Автобус,Остановка,ДВОРЕЦ,ДВОРЕЦ,"Революции ул., ул. Фридриха Энгельса","252, 299, 370, 375А, 383, 493","59.68455872586626,30.4545307"
6517,Автобус,Остановка,ПЯТЬ УГЛОВ,ПЯТЬ УГЛОВ,"Ул. Фридриха Энгельса, ул. Красного Курсанта","252, 370, 375А, 383","59.683789900316462,30.4583473"
6518,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,Ул. Фридриха Энгельса,"252, 370, 375А, 383","59.681321264931903,30.4658909"
6519,Автобус,Остановка,"Г.ПАВЛОВСК, ЗВЕРИНИЦКАЯ УЛ.","Г.ПАВЛОВСК, ЗВЕРИНИЦКАЯ УЛ.",Ул. Фридриха Энгельса,"252, 370, 375А, 383","59.678773139052872,30.4733772"
6520,Автобус,Остановка,ТВЕРСКАЯ УЛ.,ТВЕРСКАЯ УЛ.,"Улица Ремизова, Тверская улица","364, 369, 386","59.74114474168163,30.611002"
6521,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,Ул. Фридриха Энгельса,"252, 370, 375А, 383","59.681959128093823,30.4646015"
6522,Автобус,Остановка,ПЯТЬ УГЛОВ,ПЯТЬ УГЛОВ,"Ул. Фридриха Энгельса, ул. Красного Курсанта","252, 370, 375А, 383","59.683951941249525,30.4584103"
6523,Автобус,Остановка,ДВОРЕЦ,ДВОРЕЦ,"Революции ул., ул. Фридриха Энгельса","252, 299, 370, 375А, 383, 493","59.684793162433927,30.4547386"
6524,Автобус,Остановка,"БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ.","БЕРЕЗОВАЯ УЛ., УГ. ДЕТСКОСЕЛЬСКОЙ УЛ.","Детскосельская ул., Берёзовая ул.",493,"59.686344539546447,30.4309788"
6525,Автобус,Остановка,ПАВЛОВСКОЕ ШОССЕ 67,ПАВЛОВСКОЕ ШОССЕ 67,"Павловское ш., Кедринская ул.","370, 545","59.699080352757107,30.4243679"
6526,Автобус,Остановка,САПЕРНАЯ УЛ.,САПЕРНАЯ УЛ.,"Павловское ш., Саперная ул.","370, 545","59.704214669112389,30.4189472"
6527,Автобус,Остановка,АРТИЛЛЕРИЙСКАЯ УЛ.,АРТИЛЛЕРИЙСКАЯ УЛ.,"Павловское ш., Артиллерийская ул.","370, 545","59.707808222076267,30.4157715"
6528,Автобус,Остановка,"ОРАНЖЕРЕЙНАЯ УЛ., УГ. ЛЕНИНГРАДСКОЙ УЛ.","ОРАНЖЕРЕЙНАЯ УЛ., УГ. ЛЕНИНГРАДСКОЙ УЛ.","Ленинградская ул., Оранжерейная ул.","188, 236, 370, 371, 376, 377, 378, 381, 383, 385, 545","59.726279815139293,30.4184246"
6529,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 89","ЛЕНИНГРАДСКАЯ УЛ., 89 []","Ленинградская ул., Вячеслава Шишкова ул.",371,"59.732439337113398,30.4005852"
6530,Автобус,Остановка,"ЛЕНИНГРАДСКАЯ УЛ., 89","ЛЕНИНГРАДСКАЯ УЛ., 89 []","Ленинградская ул., Вячеслава Шишкова ул.",371,"59.732181135107616,30.3999634"
6531,Автобус,Остановка,"ОКТЯБРЬСКИЙ БУЛЬВАР, УГ. СОФИЙ. БУЛЬВАРА","ОКТЯБРЬСКИЙ БУЛЬВАР, УГ. СОФИЙ. БУЛЬВАРА","Софийский бульвар, Октябрьский бульвар","187, 188, 236, 273, 373, 380, 381, 382, 384, 385","59.720077831181591,30.4244251"
6532,Автобус,Остановка,ПУШКИНСКАЯ УЛ.,ПУШКИНСКАЯ УЛ.,"Конюшенная ул., Пушкинская ул.","236, 273, 342, 373, 380, 381, 382, 384, 385","59.71977476196556,30.4130611"
6533,Автобус,Остановка,ДОРОГА В АНТРОПШИНО,ДОРОГА В АНТРОПШИНО,,"339, 545","59.661855429469902,30.4215946"
6534,Автобус,Остановка,"ПЯЗЕЛЕВО, ГОРНАЯ УЛ.","ПЯЗЕЛЕВО, ГОРНАЯ УЛ.",,"339, 545","59.667512861527314,30.4198666"
6535,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ МОСТ,ЖЕЛЕЗНОДОРОЖНЫЙ МОСТ,,"339, 545","59.6722967861662,30.4211578"
6536,Автобус,Остановка,"САДОВАЯ УЛ., УГ.КОНЮШЕННОЙ УЛ.","САДОВАЯ УЛ., УГ.КОНЮШЕННОЙ УЛ.","Конюшенная ул., Садовая ул.","273, 373, 380, 381","59.714542941281309,30.4063454"
6537,Автобус,Остановка,ЕГИПЕТСКИЕ ВОРОТА,ЕГИПЕТСКИЕ ВОРОТА [],"Дворцовая ул., Октябрьский бул.",371,"59.72810127879027,30.3942566"
6538,Автобус,Остановка,"ПАВЛОВСК, ГАЛАНТЕРЕЙНАЯ ФАБРИКА","ПАВЛОВСК, ГАЛАНТЕРЕЙНАЯ ФАБРИКА","Улица Александра Матросова, улица Мичурина",339,"59.675152329233107,30.4240913"
6539,Автобус,Остановка,ЕГИПЕТСКИЕ ВОРОТА,ЕГИПЕТСКИЕ ВОРОТА [],"Дворцовая ул., Октябрьский бульвар",371,"59.727918792574648,30.3949223"
6540,Автобус,Остановка,ЛИЦЕЙ № 410,ЛИЦЕЙ № 410,"Ломоносовская ул., Кедринская ул.","252, 299, 373","59.698053394995682,30.410553"
6541,Автобус,Остановка,УЛ. ЛОМОНОСОВА 19,УЛ. ЛОМОНОСОВА 19,"Ломоносовская ул., ул. Архитектора Данини","342, 373","59.694944760412341,30.412859"
6542,Автобус,Остановка,ОБЪЕДИНЕННАЯ БОЛЬНИЦА,ОБЪЕДИНЕННАЯ БОЛЬНИЦА,Мичурина ул.,"339, 545","59.677373138978226,30.4258118"
6543,Автобус,Остановка,"ПУШКИНСКАЯ УЛ., УГ. ДВОРЦОВОЙ УЛ.","ПУШКИНСКАЯ УЛ., УГ. ДВОРЦОВОЙ УЛ. []","Дворцовая ул., Пушкинская ул.",371,"59.724079464941781,30.3994064"
6544,Автобус,Остановка,ШКОЛА № 464,ШКОЛА № 464,"Мичурина ул., Мичурина пер.","339, 545","59.680941989186948,30.4303474"
6545,Автобус,Остановка,МОСКОВСКАЯ УЛ.,МОСКОВСКАЯ УЛ.,"Московская ул., Леонтьевская ул.",371,"59.720604751804821,30.404211"
6546,Автобус,Остановка,ГУММОЛОСАРОВСКАЯ УЛ.,ГУММОЛОСАРОВСКАЯ УЛ.,"Мичурина ул., Лебединая ул.",545,"59.68358303841196,30.434042"
6547,Автобус,Остановка,"УЛ. ЛОМОНОСОВА, 19","УЛ. ЛОМОНОСОВА, 19","Ломоносовская ул., ул. Архитектора Данини",373,"59.694927527709019,30.4133301"
6548,Автобус,Остановка,ЛИЦЕЙ № 410,ЛИЦЕЙ № 410,"Ломоносовская ул., Кедринская ул.","252, 299, 373","59.698205028325035,30.4109497"
6549,Автобус,Остановка,"ЖЕЛЕЗНОДОРОЖНАЯ УЛ., 56","ЖЕЛЕЗНОДОРОЖНАЯ УЛ., 56","Железнодорожная ул., шоссе Подбельского","375, 376, 381","59.734119322806144,30.4218025"
